brand,model,year,damage_class,severity,price_tnd
Renault,Megane,2022,front-bumper-dent,moderate,623.08
Toyota,RAV4,2026,fender-dent,light,326.7
Toyota,Yaris,2021,roof-dent,light,558.73
Audi,A3,2019,bonnet-dent,moderate,1312.74
Mercedes,Classe C,2018,sidemirror-damage,moderate,498.96
Audi,A3,2023,roof-dent,severe,2172.55
BMW,Serie 3,2026,bonnet-dent,light,801.9
BMW,Serie 3,2018,front-bumper-dent,moderate,1247.4
Hyundai,i20,2022,runningboard-dent,light,236.12
Mercedes,Classe C,2016,front-bumper-dent,moderate,1423.12
Hyundai,i30,2022,quarterpanel-dent,severe,1023.16
Kia,Ceed,2023,headlight-damage,light,186.22
Volkswagen,Golf,2016,doorouter-dent,severe,1314.97
Kia,Rio,2021,front-windscreen-damage,light,287.35
Ford,Fiesta,2024,runningboard-dent,severe,630.94
Mercedes,Classe A,2024,rear-windscreen-damage,light,489.46
BMW,X3,2017,fender-dent,light,667.45
Renault,Clio,2025,taillight-damage,severe,357.98
Ford,Focus,2025,rear-windscreen-damage,moderate,442.13
Ford,Kuga,2024,signlight-damage,moderate,168.25
Audi,Q5,2021,taillight-damage,moderate,425.7
Renault,Clio,2026,fender-dent,moderate,517.27
Hyundai,i30,2017,front-windscreen-damage,moderate,505.64
Ford,Kuga,2017,rear-windscreen-damage,severe,741.61
Audi,Q5,2020,headlight-damage,moderate,517.97
BMW,Serie 3,2021,sidemirror-damage,light,258.61
Hyundai,Tucson,2020,doorouter-dent,severe,1133.06
Kia,Rio,2026,pillar-dent,severe,742.5
Volkswagen,Tiguan,2017,runningboard-dent,light,278.1
Volkswagen,Golf,2017,quarterpanel-dent,severe,1205.11
Mercedes,Classe C,2020,doorouter-dent,light,906.44
Peugeot,208,2026,fender-dent,moderate,490.05
Kia,Sportage,2020,runningboard-dent,light,242.8
BMW,X3,2022,pillar-dent,moderate,944.46
Toyota,Corolla,2021,roof-dent,light,558.73
Volkswagen,Golf,2023,bonnet-dent,severe,1280.26
Renault,Captur,2016,rear-windscreen-damage,light,259.58
Mercedes,GLC,2016,pillar-dent,moderate,1138.5
Ford,Kuga,2018,front-bumper-dent,light,457.38
Toyota,Yaris,2021,runningboard-dent,light,239.46
Peugeot,208,2026,taillight-damage,severe,334.12
BMW,X5,2024,runningboard-dent,moderate,688.3
Ford,Kuga,2018,runningboard-dent,light,274.43
Mercedes,Classe A,2022,front-windscreen-damage,light,566.68
Peugeot,308,2026,pillar-dent,severe,668.25
Audi,A4,2018,roof-dent,severe,2328.48
BMW,X5,2016,pillar-dent,moderate,1024.65
Audi,A3,2023,signlight-damage,moderate,248.29
Audi,A3,2016,fender-dent,light,601.13
Renault,Megane,2020,pillar-dent,light,307.54
Volkswagen,Polo,2026,bonnet-dent,moderate,816.75
Kia,Sportage,2016,rear-windscreen-damage,moderate,455.4
Mercedes,GLC,2020,front-windscreen-damage,light,582.71
Ford,Fiesta,2021,quarterpanel-dent,moderate,760.94
Renault,Captur,2024,rear-windscreen-damage,moderate,387.49
Ford,Focus,2020,front-windscreen-damage,severe,801.23
Renault,Clio,2024,runningboard-dent,severe,544.9
Audi,A4,2022,rear-windscreen-damage,severe,1007.42
Peugeot,3008,2021,fender-dent,light,316.08
Volkswagen,Tiguan,2020,fender-dent,moderate,652.86
Peugeot,308,2020,bonnet-dent,light,437.04
Audi,A4,2026,front-bumper-dent,severe,1485.0
Mercedes,GLC,2025,sidemirror-damage,moderate,452.18
Kia,Rio,2020,sidemirror-damage,light,145.68
Renault,Captur,2025,fender-dent,moderate,525.03
Hyundai,i30,2023,fender-dent,light,341.4
Kia,Sportage,2018,fender-dent,light,365.9
Volkswagen,Tiguan,2026,fender-dent,severe,898.43
Peugeot,208,2019,fender-dent,moderate,541.51
Audi,A3,2018,front-windscreen-damage,light,479.0
Audi,A4,2025,pillar-dent,light,482.33
Hyundai,i30,2026,doorouter-dent,light,415.8
Renault,Megane,2022,taillight-damage,light,149.54
Toyota,Corolla,2022,taillight-damage,light,157.41
Kia,Sportage,2016,bonnet-dent,light,512.32
BMW,X5,2018,roof-dent,moderate,1746.36
Kia,Ceed,2025,signlight-damage,moderate,150.73
Ford,Kuga,2024,front-bumper-dent,severe,1051.57
Hyundai,i20,2023,rear-bumper-dent,moderate,620.73
Audi,Q5,2020,roof-dent,severe,2266.11
Hyundai,Tucson,2019,sidemirror-damage,moderate,246.14
BMW,X3,2020,taillight-damage,moderate,485.6
Peugeot,308,2024,rear-windscreen-damage,light,220.26
Mercedes,Classe A,2022,quarterpanel-dent,light,818.53
Audi,A3,2022,front-bumper-dent,moderate,1049.4
Kia,Sportage,2022,front-windscreen-damage,light,283.34
Renault,Megane,2025,quarterpanel-dent,light,372.3
Ford,Fiesta,2023,front-windscreen-damage,moderate,512.1
Volkswagen,Polo,2022,bonnet-dent,severe,1298.63
Kia,Ceed,2019,rear-bumper-dent,light,393.82
Volkswagen,Polo,2023,front-windscreen-damage,moderate,512.1
Peugeot,3008,2026,roof-dent,moderate,779.62
Mercedes,Classe C,2018,doorouter-dent,severe,2328.48
Toyota,Yaris,2025,doorouter-dent,severe,1055.09
Toyota,Corolla,2026,front-bumper-dent,light,371.25
Hyundai,i20,2016,sidemirror-damage,moderate,256.16
Peugeot,208,2023,signlight-damage,moderate,139.66
Renault,Megane,2022,sidemirror-damage,light,134.59
Hyundai,i20,2024,front-windscreen-damage,moderate,458.86
Audi,Q5,2017,roof-dent,severe,2359.66
Toyota,Corolla,2019,taillight-damage,light,164.09
Ford,Focus,2019,headlight-damage,moderate,361.0
BMW,X3,2019,rear-bumper-dent,severe,1772.2
Volkswagen,Polo,2018,doorouter-dent,severe,1280.66
BMW,Serie 3,2020,rear-windscreen-damage,severe,1165.43
Toyota,Yaris,2025,fender-dent,moderate,552.67
Renault,Captur,2019,rear-windscreen-damage,severe,623.55
Audi,A3,2020,pillar-dent,severe,1294.92
Ford,Focus,2025,roof-dent,light,580.3
Peugeot,3008,2022,fender-dent,moderate,519.45
BMW,X3,2026,signlight-damage,light,160.38
Renault,Megane,2017,front-bumper-dent,moderate,667.17
Hyundai,Tucson,2018,front-bumper-dent,light,415.8
Kia,Ceed,2020,doorouter-dent,severe,1133.06
Hyundai,i30,2022,pillar-dent,severe,787.05
Ford,Fiesta,2021,pillar-dent,light,351.2
BMW,X5,2023,taillight-damage,moderate,465.55
Ford,Kuga,2026,front-bumper-dent,moderate,680.62
Toyota,Yaris,2021,headlight-damage,moderate,319.27
Audi,A4,2020,signlight-damage,moderate,258.98
Ford,Kuga,2020,bonnet-dent,light,534.15
Kia,Rio,2017,taillight-damage,severe,421.37
Renault,Megane,2024,roof-dent,light,508.58
Hyundai,Tucson,2023,rear-bumper-dent,light,372.44
BMW,X5,2019,front-bumper-dent,severe,1846.04
Audi,A4,2026,doorouter-dent,moderate,1108.8
Hyundai,Tucson,2024,signlight-damage,moderate,152.95
Kia,Sportage,2021,quarterpanel-dent,moderate,691.76
Volkswagen,Polo,2020,taillight-damage,light,178.05
Audi,A4,2017,quarterpanel-dent,severe,1752.89
Mercedes,Classe A,2019,quarterpanel-dent,moderate,1422.13
Volkswagen,Tiguan,2025,roof-dent,severe,1450.75
Ford,Fiesta,2017,pillar-dent,light,370.8
Volkswagen,Golf,2021,headlight-damage,moderate,351.2
Toyota,RAV4,2024,headlight-damage,moderate,305.91
Toyota,Corolla,2024,sidemirror-damage,severe,344.15
Mercedes,GLC,2023,rear-windscreen-damage,light,496.58
Ford,Fiesta,2023,rear-bumper-dent,moderate,682.8
Peugeot,208,2016,sidemirror-damage,moderate,230.55
BMW,Serie 3,2022,rear-bumper-dent,light,680.01
Ford,Kuga,2026,front-windscreen-damage,light,294.03
Mercedes,GLC,2020,rear-windscreen-damage,light,517.97
BMW,X3,2022,doorouter-dent,severe,1983.37
Ford,Focus,2024,front-bumper-dent,moderate,701.04
Hyundai,i30,2025,front-bumper-dent,moderate,628.03
Ford,Kuga,2016,doorouter-dent,severe,1314.97
BMW,Serie 3,2026,taillight-damage,moderate,445.5
BMW,Serie 3,2019,headlight-damage,severe,886.1
BMW,Serie 3,2016,front-bumper-dent,moderate,1280.81
Ford,Fiesta,2020,front-windscreen-damage,light,320.49
Volkswagen,Tiguan,2020,quarterpanel-dent,moderate,771.56
BMW,X3,2019,runningboard-dent,moderate,738.42
Ford,Kuga,2019,front-bumper-dent,light,451.25
Kia,Rio,2026,headlight-damage,moderate,297.0
Mercedes,Classe A,2016,headlight-damage,moderate,683.1
Ford,Kuga,2025,runningboard-dent,moderate,414.5
Hyundai,i20,2023,quarterpanel-dent,moderate,672.46
Renault,Megane,2024,bonnet-dent,moderate,726.54
Hyundai,i20,2025,front-windscreen-damage,moderate,452.18
Peugeot,3008,2020,front-windscreen-damage,light,262.22
Audi,Q5,2025,doorouter-dent,light,675.26
Volkswagen,Tiguan,2016,roof-dent,light,657.48
Hyundai,Tucson,2026,rear-bumper-dent,moderate,594.0
Mercedes,GLC,2022,fender-dent,moderate,1154.34
BMW,X5,2021,front-bumper-dent,moderate,1197.28
Peugeot,3008,2017,pillar-dent,light,303.39
Peugeot,308,2023,sidemirror-damage,severe,314.24
Renault,Captur,2016,rear-bumper-dent,light,389.37
Peugeot,308,2021,rear-windscreen-damage,moderate,383.13
Kia,Rio,2026,pillar-dent,severe,742.5
Hyundai,i30,2016,taillight-damage,severe,426.94
Peugeot,3008,2023,fender-dent,moderate,512.1
Toyota,Corolla,2020,bonnet-dent,light,485.6
Volkswagen,Polo,2023,rear-windscreen-damage,light,273.12
Ford,Focus,2018,sidemirror-damage,severe,411.64
Toyota,RAV4,2022,rear-windscreen-damage,light,251.86
BMW,X5,2017,fender-dent,light,667.45
Hyundai,Tucson,2020,bonnet-dent,severe,1213.99
Volkswagen,Polo,2023,rear-bumper-dent,light,409.68
Hyundai,Tucson,2018,front-bumper-dent,light,415.8
Ford,Kuga,2018,pillar-dent,light,365.9
Volkswagen,Polo,2021,runningboard-dent,severe,658.5
Volkswagen,Golf,2020,quarterpanel-dent,moderate,771.56
Ford,Kuga,2026,rear-bumper-dent,light,392.04
Hyundai,Tucson,2023,signlight-damage,moderate,155.18
Kia,Ceed,2022,rear-bumper-dent,moderate,629.64
Audi,Q5,2019,doorouter-dent,moderate,1225.22
Audi,A4,2016,signlight-damage,severe,409.86
Hyundai,Tucson,2022,front-bumper-dent,severe,983.81
Mercedes,Classe C,2016,headlight-damage,severe,1024.65
Ford,Fiesta,2017,pillar-dent,moderate,618.01
BMW,X3,2023,front-windscreen-damage,severe,1256.98
Mercedes,Classe C,2026,headlight-damage,light,356.4
Hyundai,i30,2021,doorouter-dent,severe,1117.46
Renault,Captur,2017,pillar-dent,moderate,533.73
Kia,Sportage,2021,fender-dent,severe,878.01
Hyundai,Tucson,2016,doorouter-dent,light,478.17
Audi,Q5,2026,runningboard-dent,moderate,594.0
Audi,Q5,2017,front-bumper-dent,light,674.19
BMW,X5,2018,quarterpanel-dent,moderate,1297.3
Toyota,Corolla,2021,roof-dent,light,558.73
Volkswagen,Polo,2021,front-bumper-dent,light,439.0
Audi,Q5,2022,doorouter-dent,severe,1762.99
Mercedes,Classe A,2018,rear-windscreen-damage,severe,1330.56
Renault,Captur,2026,taillight-damage,moderate,235.12
Ford,Focus,2019,rear-bumper-dent,severe,1083.01
Volkswagen,Polo,2020,fender-dent,light,391.71
Hyundai,i30,2026,bonnet-dent,light,445.5
BMW,X5,2021,doorouter-dent,moderate,1340.95
Renault,Captur,2020,rear-bumper-dent,moderate,615.09
Audi,A4,2023,rear-windscreen-damage,light,397.27
Renault,Captur,2021,doorouter-dent,moderate,707.73
Volkswagen,Golf,2026,front-bumper-dent,moderate,680.62
Toyota,RAV4,2026,roof-dent,severe,1299.38
Toyota,RAV4,2023,pillar-dent,moderate,517.27
Audi,Q5,2021,taillight-damage,severe,638.55
Audi,Q5,2020,fender-dent,severe,1424.41
Mercedes,GLC,2017,runningboard-dent,severe,1264.11
Toyota,Yaris,2023,front-windscreen-damage,severe,698.32
Peugeot,3008,2018,rear-windscreen-damage,moderate,399.17
Peugeot,3008,2022,headlight-damage,light,170.0
Mercedes,GLC,2021,bonnet-dent,severe,2394.56
Volkswagen,Golf,2020,runningboard-dent,moderate,445.13
Volkswagen,Tiguan,2021,roof-dent,light,614.6
Hyundai,i20,2018,roof-dent,light,582.12
Renault,Captur,2021,rear-windscreen-damage,moderate,404.42
Toyota,Yaris,2024,rear-windscreen-damage,moderate,407.88
Peugeot,3008,2026,sidemirror-damage,severe,300.71
Renault,Captur,2021,rear-windscreen-damage,severe,606.62
Audi,A4,2016,doorouter-dent,severe,1912.68
Peugeot,3008,2019,fender-dent,light,324.9
Hyundai,Tucson,2020,fender-dent,moderate,593.5
BMW,Serie 3,2016,front-windscreen-damage,moderate,922.18
Hyundai,i20,2017,taillight-damage,severe,421.37
Mercedes,Classe C,2023,signlight-damage,severe,465.55
Kia,Sportage,2025,quarterpanel-dent,severe,979.73
Mercedes,Classe C,2026,rear-windscreen-damage,moderate,792.0
Ford,Fiesta,2020,front-windscreen-damage,severe,801.23
Peugeot,208,2023,rear-bumper-dent,light,335.19
Peugeot,208,2026,signlight-damage,severe,200.48
Peugeot,208,2022,sidemirror-damage,light,127.5
BMW,X5,2017,fender-dent,light,667.45
Ford,Focus,2016,roof-dent,moderate,1095.81
Audi,A3,2025,taillight-damage,light,241.16
Kia,Rio,2025,taillight-damage,light,150.73
Peugeot,208,2025,front-windscreen-damage,moderate,406.96
Mercedes,Classe A,2024,sidemirror-damage,light,275.32
BMW,X3,2016,headlight-damage,light,368.87
Peugeot,208,2025,signlight-damage,light,81.39
Mercedes,Classe C,2016,headlight-damage,severe,1024.65
Renault,Captur,2017,quarterpanel-dent,light,416.31
Hyundai,i30,2021,bonnet-dent,severe,1197.28
BMW,X5,2024,taillight-damage,severe,688.3
Toyota,RAV4,2026,bonnet-dent,moderate,742.5
Hyundai,Tucson,2016,front-windscreen-damage,moderate,512.32
Renault,Megane,2026,rear-windscreen-damage,moderate,376.2
Hyundai,i20,2017,signlight-damage,severe,252.82
Mercedes,Classe A,2018,sidemirror-damage,severe,748.44
Ford,Kuga,2021,front-bumper-dent,severe,1097.51
Kia,Sportage,2023,bonnet-dent,severe,1163.87
Renault,Clio,2017,pillar-dent,severe,800.6
Kia,Ceed,2019,front-bumper-dent,moderate,683.72
Audi,A4,2021,pillar-dent,moderate,851.4
Renault,Megane,2017,signlight-damage,moderate,160.12
Peugeot,3008,2020,signlight-damage,light,87.41
Hyundai,i20,2017,pillar-dent,light,337.09
BMW,X5,2017,quarterpanel-dent,severe,1972.01
Peugeot,208,2024,front-windscreen-damage,severe,619.47
Kia,Ceed,2021,fender-dent,light,351.2
Renault,Megane,2026,roof-dent,moderate,822.94
Toyota,Yaris,2025,sidemirror-damage,moderate,226.09
BMW,X3,2024,taillight-damage,light,275.32
Hyundai,i20,2017,signlight-damage,severe,252.82
Peugeot,208,2020,doorouter-dent,light,407.9
Renault,Captur,2025,doorouter-dent,severe,1002.34
Kia,Rio,2025,runningboard-dent,severe,565.23
Volkswagen,Golf,2018,sidemirror-damage,severe,411.64
Volkswagen,Polo,2021,front-windscreen-damage,light,316.08
Mercedes,GLC,2026,front-bumper-dent,light,742.5
Mercedes,GLC,2026,front-windscreen-damage,light,534.6
Kia,Rio,2022,front-bumper-dent,moderate,655.88
Peugeot,208,2021,sidemirror-damage,severe,323.27
Peugeot,3008,2025,rear-windscreen-damage,light,217.05
Mercedes,Classe A,2025,front-windscreen-damage,severe,1356.55
BMW,X5,2023,fender-dent,moderate,1024.2
Hyundai,Tucson,2023,front-bumper-dent,moderate,646.59
Audi,Q5,2017,signlight-damage,moderate,269.68
BMW,X5,2026,fender-dent,severe,1470.15
Hyundai,Tucson,2026,sidemirror-damage,light,133.65
Audi,A4,2025,front-windscreen-damage,light,434.1
Audi,A4,2019,roof-dent,light,918.92
Volkswagen,Polo,2021,rear-windscreen-damage,light,280.96
Hyundai,Tucson,2022,headlight-damage,light,188.89
Renault,Captur,2019,bonnet-dent,severe,1169.16
Peugeot,208,2022,pillar-dent,severe,708.34
Toyota,Yaris,2016,rear-bumper-dent,light,409.86
Peugeot,3008,2022,doorouter-dent,moderate,661.12
Renault,Megane,2017,front-bumper-dent,light,400.3
Peugeot,208,2025,rear-bumper-dent,severe,813.93
Peugeot,208,2022,pillar-dent,light,283.34
Audi,A4,2025,front-bumper-dent,severe,1507.27
BMW,X5,2020,quarterpanel-dent,moderate,1262.55
Audi,A4,2018,rear-windscreen-damage,severe,1064.45
BMW,X3,2024,taillight-damage,moderate,458.86
Peugeot,3008,2026,pillar-dent,light,267.3
Audi,A3,2018,sidemirror-damage,light,239.5
Mercedes,GLC,2018,roof-dent,severe,2910.6
BMW,Serie 3,2026,rear-bumper-dent,moderate,1069.2
Ford,Kuga,2023,fender-dent,severe,938.85
Ford,Fiesta,2026,signlight-damage,light,98.01
Hyundai,i20,2023,rear-bumper-dent,severe,931.09
Volkswagen,Polo,2025,front-windscreen-damage,moderate,497.4
Kia,Rio,2020,rear-bumper-dent,moderate,647.46
Toyota,Corolla,2021,pillar-dent,moderate,532.12
BMW,X3,2017,doorouter-dent,severe,2123.7
Kia,Sportage,2023,doorouter-dent,severe,1086.28
Toyota,Yaris,2025,fender-dent,light,331.6
Peugeot,3008,2023,bonnet-dent,light,418.99
Toyota,Yaris,2017,roof-dent,moderate,983.19
BMW,X3,2026,headlight-damage,light,320.76
Audi,Q5,2023,rear-bumper-dent,severe,1489.75
Kia,Ceed,2018,signlight-damage,moderate,166.32
Volkswagen,Polo,2022,roof-dent,moderate,1010.05
Ford,Focus,2026,fender-dent,moderate,598.95
BMW,X5,2017,bonnet-dent,severe,2275.39
Renault,Megane,2020,quarterpanel-dent,severe,999.52
Ford,Focus,2021,rear-windscreen-damage,severe,702.4
Mercedes,Classe C,2020,fender-dent,severe,1780.51
Renault,Clio,2025,quarterpanel-dent,light,372.3
Volkswagen,Tiguan,2022,fender-dent,moderate,634.89
Mercedes,GLC,2026,runningboard-dent,severe,1113.75
BMW,X3,2026,front-bumper-dent,severe,1670.62
Peugeot,208,2021,sidemirror-damage,light,129.31
Audi,A4,2023,taillight-damage,light,248.29
Mercedes,Classe A,2017,sidemirror-damage,light,303.39
Kia,Ceed,2024,front-windscreen-damage,severe,688.3
Peugeot,3008,2018,doorouter-dent,moderate,698.54
Mercedes,Classe A,2018,pillar-dent,severe,1663.2
Ford,Focus,2023,front-windscreen-damage,moderate,512.1
Peugeot,3008,2019,rear-bumper-dent,severe,886.1
Volkswagen,Tiguan,2023,taillight-damage,severe,426.75
Audi,A4,2023,runningboard-dent,light,372.44
Peugeot,3008,2025,rear-bumper-dent,moderate,542.62
Volkswagen,Polo,2024,bonnet-dent,moderate,841.25
Mercedes,Classe A,2025,headlight-damage,moderate,602.91
Toyota,RAV4,2023,pillar-dent,moderate,517.27
Kia,Rio,2024,pillar-dent,light,305.91
Volkswagen,Golf,2018,sidemirror-damage,moderate,274.43
Kia,Rio,2022,rear-windscreen-damage,light,251.86
Hyundai,i30,2016,front-bumper-dent,light,426.94
Renault,Captur,2021,taillight-damage,moderate,252.76
BMW,X5,2019,front-windscreen-damage,moderate,886.1
BMW,X3,2026,signlight-damage,light,160.38
Mercedes,Classe A,2020,runningboard-dent,moderate,809.32
Mercedes,GLC,2023,rear-bumper-dent,severe,1862.19
Toyota,Corolla,2016,sidemirror-damage,light,153.7
Mercedes,GLC,2025,bonnet-dent,moderate,1507.27
BMW,X5,2019,sidemirror-damage,light,265.83
Toyota,Corolla,2022,fender-dent,severe,865.75
Hyundai,i20,2017,pillar-dent,moderate,561.82
Ford,Kuga,2016,fender-dent,severe,1033.19
Ford,Focus,2018,sidemirror-damage,moderate,274.43
Toyota,RAV4,2021,taillight-damage,severe,399.09
Renault,Clio,2026,fender-dent,light,310.36
Kia,Sportage,2017,bonnet-dent,severe,1264.11
Kia,Ceed,2024,front-windscreen-damage,moderate,458.86
Hyundai,i20,2026,front-bumper-dent,moderate,618.75
Volkswagen,Tiguan,2016,signlight-damage,light,112.71
Peugeot,208,2026,fender-dent,light,294.03
Ford,Kuga,2021,headlight-damage,light,210.72
Peugeot,3008,2021,pillar-dent,severe,718.37
Mercedes,GLC,2023,quarterpanel-dent,moderate,1344.91
Mercedes,Classe A,2017,quarterpanel-dent,moderate,1460.75
Toyota,Yaris,2019,front-windscreen-damage,light,295.37
Toyota,Yaris,2020,bonnet-dent,moderate,809.32
Kia,Sportage,2020,front-windscreen-damage,severe,728.39
Audi,A4,2021,pillar-dent,light,510.84
Peugeot,308,2017,roof-dent,moderate,884.87
Renault,Megane,2023,runningboard-dent,moderate,368.56
Peugeot,208,2023,quarterpanel-dent,moderate,605.21
Peugeot,3008,2020,roof-dent,light,509.87
Renault,Clio,2022,doorouter-dent,light,418.71
Kia,Sportage,2021,rear-windscreen-damage,light,255.42
Peugeot,3008,2020,sidemirror-damage,moderate,218.52
Ford,Kuga,2022,headlight-damage,severe,519.45
Hyundai,i30,2023,front-windscreen-damage,severe,698.32
Peugeot,3008,2022,sidemirror-damage,severe,318.76
Toyota,Corolla,2026,fender-dent,moderate,544.5
Peugeot,3008,2026,headlight-damage,light,160.38
Mercedes,GLC,2026,roof-dent,moderate,1732.5
Toyota,Corolla,2017,taillight-damage,severe,421.37
Peugeot,308,2022,doorouter-dent,light,396.67
Ford,Focus,2026,rear-bumper-dent,moderate,653.4
Peugeot,308,2017,doorouter-dent,light,424.74
Kia,Sportage,2022,signlight-damage,severe,236.12
Volkswagen,Golf,2017,front-windscreen-damage,severe,834.31
Mercedes,Classe C,2024,front-bumper-dent,severe,1911.94
BMW,X5,2020,quarterpanel-dent,moderate,1262.55
Audi,Q5,2020,quarterpanel-dent,moderate,1122.26
Audi,A3,2018,pillar-dent,light,532.22
Hyundai,i20,2023,rear-windscreen-damage,severe,620.73
Peugeot,3008,2021,quarterpanel-dent,light,373.55
Kia,Ceed,2020,runningboard-dent,moderate,404.66
Mercedes,GLC,2026,headlight-damage,moderate,594.0
Kia,Rio,2017,taillight-damage,light,168.55
Audi,A4,2016,signlight-damage,severe,409.86
Ford,Fiesta,2023,roof-dent,severe,1493.63
Mercedes,GLC,2017,rear-windscreen-damage,moderate,898.92
Renault,Captur,2023,bonnet-dent,moderate,737.12
Renault,Captur,2017,headlight-damage,moderate,320.24
BMW,X5,2023,fender-dent,severe,1536.31
Peugeot,208,2024,fender-dent,severe,757.13
Mercedes,Classe A,2022,bonnet-dent,light,944.46
BMW,X3,2018,sidemirror-damage,light,269.44
Mercedes,Classe C,2019,signlight-damage,severe,492.28
Volkswagen,Golf,2020,taillight-damage,severe,445.13
Kia,Sportage,2018,fender-dent,moderate,609.84
Ford,Kuga,2017,bonnet-dent,severe,1390.52
Mercedes,GLC,2025,headlight-damage,light,361.75
Ford,Kuga,2025,signlight-damage,severe,248.7
Toyota,Corolla,2017,front-windscreen-damage,severe,758.46
Ford,Fiesta,2026,taillight-damage,severe,408.38
Renault,Captur,2026,front-windscreen-damage,moderate,423.22
Kia,Sportage,2026,sidemirror-damage,moderate,222.75
Audi,Q5,2022,sidemirror-damage,moderate,377.78
BMW,X3,2016,headlight-damage,moderate,614.79
Renault,Megane,2023,taillight-damage,moderate,245.71
Ford,Focus,2021,pillar-dent,severe,878.01
Peugeot,3008,2021,front-bumper-dent,light,359.18
Peugeot,3008,2024,rear-windscreen-damage,moderate,367.09
Audi,A4,2017,sidemirror-damage,moderate,404.51
Audi,A3,2017,front-windscreen-damage,moderate,809.03
Renault,Captur,2022,taillight-damage,light,149.54
Peugeot,3008,2021,taillight-damage,light,143.67
Hyundai,Tucson,2023,rear-bumper-dent,moderate,620.73
Hyundai,i20,2017,front-bumper-dent,severe,1053.42
Hyundai,i20,2019,doorouter-dent,moderate,765.76
Toyota,Corolla,2020,rear-bumper-dent,severe,971.19
Hyundai,i30,2024,front-windscreen-damage,light,275.32
Renault,Clio,2020,quarterpanel-dent,moderate,666.34
Renault,Megane,2016,front-bumper-dent,light,405.59
Ford,Kuga,2019,signlight-damage,severe,270.75
Volkswagen,Golf,2022,bonnet-dent,moderate,865.75
Kia,Sportage,2025,fender-dent,severe,829.0
BMW,Serie 3,2017,front-bumper-dent,moderate,1264.11
Peugeot,3008,2021,roof-dent,light,502.86
Audi,Q5,2024,front-bumper-dent,severe,1529.55
Toyota,Corolla,2016,headlight-damage,severe,512.32
Peugeot,308,2024,rear-bumper-dent,light,330.38
Ford,Kuga,2018,signlight-damage,severe,274.43
Peugeot,208,2022,doorouter-dent,severe,991.68
Volkswagen,Tiguan,2021,bonnet-dent,severe,1317.01
Kia,Sportage,2025,sidemirror-damage,moderate,226.09
Toyota,Yaris,2021,fender-dent,light,351.2
Renault,Captur,2020,roof-dent,severe,1345.5
